"first_mode","second_mode","third_mode","fourth_mode","fifth_mode","sixth_mode","n","share"
"BRT","Other transit mode (a.SITP)",NA,NA,NA,NA,2884,0.0215
"Other transit mode (a.SITP)","BRT",NA,NA,NA,NA,2784,0.0207
"Other transit mode (b.Not SITP)","BRT",NA,NA,NA,NA,793,0.0059
"BRT","Other transit mode (b.Not SITP)",NA,NA,NA,NA,763,0.0057
"Other transit mode (a.SITP)","BRT",NA,NA,NA,NA,440,0.0033
"Other transit mode (a.SITP)","Other transit mode (b.Not SITP)",NA,NA,NA,NA,381,0.0028
"Other transit mode (b.Not SITP)","Other transit mode (a.SITP)",NA,NA,NA,NA,341,0.0025
"BRT","Other",NA,NA,NA,NA,246,0.0018
"Other","BRT",NA,NA,NA,NA,169,0.0013
"Other transit mode (b.Not SITP)","BRT","Other transit mode (a.SITP)",NA,NA,NA,167,0.0012
"Other transit mode (a.SITP)","BRT","Other transit mode (b.Not SITP)",NA,NA,NA,149,0.0011
"Other","BRT",NA,NA,NA,NA,129,0.001
"BRT","Other",NA,NA,NA,NA,126,9e-04
"Other transit mode (a.SITP)","Other",NA,NA,NA,NA,123,9e-04
"Other transit mode (b.Not SITP)","Other",NA,NA,NA,NA,120,9e-04
"Other","Other transit mode (a.SITP)",NA,NA,NA,NA,98,7e-04
"Other transit mode (a.SITP)","Other",NA,NA,NA,NA,100,7e-04
"Other","Other transit mode (b.Not SITP)",NA,NA,NA,NA,84,6e-04
"BRT","Other transit mode (a.SITP)","Other",NA,NA,NA,62,5e-04
"Other","Other transit mode (b.Not SITP)",NA,NA,NA,NA,48,4e-04
"Other transit mode (a.SITP)","BRT","Other",NA,NA,NA,52,4e-04
"Other transit mode (b.Not SITP)","BRT",NA,NA,NA,NA,53,4e-04
"Other transit mode (b.Not SITP)","Other",NA,NA,NA,NA,60,4e-04
"BRT","Other transit mode (a.SITP)","Other transit mode (b.Not SITP)",NA,NA,NA,37,3e-04
"Other",NA,NA,NA,NA,NA,46,3e-04
"BRT","Other",NA,NA,NA,NA,25,2e-04
"Other","BRT",NA,NA,NA,NA,21,2e-04
"Other","BRT","Other transit mode (a.SITP)",NA,NA,NA,24,2e-04
"Other","Other transit mode (a.SITP)","BRT",NA,NA,NA,33,2e-04
"Other transit mode (b.Not SITP)","BRT","Other",NA,NA,NA,31,2e-04
"Other","BRT","Other transit mode (a.SITP)",NA,NA,NA,26,2e-04
"Other","Other transit mode (a.SITP)",NA,NA,NA,NA,33,2e-04
"BRT","Other transit mode (a.SITP)","Other",NA,NA,NA,12,1e-04
"BRT","Other transit mode (b.Not SITP)","Other",NA,NA,NA,8,1e-04
"BRT","Other transit mode (b.Not SITP)","Other transit mode (a.SITP)",NA,NA,NA,7,1e-04
"BRT","Other transit mode (b.Not SITP)","Other",NA,NA,NA,15,1e-04
"Other",NA,NA,NA,NA,NA,9,1e-04
"Other","Other transit mode (a.SITP)",NA,NA,NA,NA,13,1e-04
"Other","Other transit mode (b.Not SITP)",NA,NA,NA,NA,16,1e-04
"Other","BRT",NA,NA,NA,NA,9,1e-04
"Other",NA,NA,NA,NA,NA,15,1e-04
"Other",NA,NA,NA,NA,NA,7,1e-04
"Other","Other transit mode (b.Not SITP)","BRT",NA,NA,NA,9,1e-04
"Other","BRT",NA,NA,NA,NA,10,1e-04
"Other",NA,NA,NA,NA,NA,8,1e-04
"Other","Other transit mode (a.SITP)",NA,NA,NA,NA,9,1e-04
"Other transit mode (a.SITP)","BRT","Other",NA,NA,NA,7,1e-04
"Other transit mode (a.SITP)","BRT","Other",NA,NA,NA,14,1e-04
"Other transit mode (a.SITP)","BRT","Other transit mode (b.Not SITP)","Other transit mode (b.Not SITP)",NA,NA,10,1e-04
"Other transit mode (a.SITP)","Other",NA,NA,NA,NA,9,1e-04
"Other transit mode (a.SITP)","Other",NA,NA,NA,NA,12,1e-04
"Other transit mode (a.SITP)","Other transit mode (b.Not SITP)",NA,NA,NA,NA,17,1e-04
"Other transit mode (a.SITP)",NA,NA,NA,NA,NA,11,1e-04
"Other transit mode (b.Not SITP)","BRT","Other",NA,NA,NA,7,1e-04
"Other transit mode (b.Not SITP)","Other",NA,NA,NA,NA,18,1e-04
"Other transit mode (b.Not SITP)","Other transit mode (a.SITP)","BRT",NA,NA,NA,14,1e-04
"Other","BRT","Other transit mode (b.Not SITP)",NA,NA,NA,9,1e-04
"Other","BRT",NA,NA,NA,NA,10,1e-04
"Other",NA,NA,NA,NA,NA,19,1e-04
"Other","Other transit mode (a.SITP)","BRT",NA,NA,NA,7,1e-04
"BRT","Other",NA,NA,NA,NA,5,0
"BRT","Other",NA,NA,NA,NA,1,0
"BRT","Other transit mode (a.SITP)",NA,NA,NA,NA,1,0
"BRT","Other transit mode (a.SITP)","Other transit mode (b.Not SITP)","Other transit mode (b.Not SITP)",NA,"Other",1,0
"BRT","Other transit mode (a.SITP)","Other",NA,NA,NA,1,0
"BRT","Other transit mode (a.SITP)","Other transit mode (b.Not SITP)","Other",NA,NA,1,0
"BRT","Other transit mode (a.SITP)",NA,NA,NA,NA,1,0
"BRT","Other transit mode (b.Not SITP)","Other",NA,NA,NA,2,0
"BRT","Other transit mode (b.Not SITP)","Other",NA,NA,NA,1,0
"BRT","Other","Other transit mode (b.Not SITP)",NA,NA,NA,1,0
"BRT",NA,NA,NA,NA,NA,2,0
"BRT","Other","Other",NA,NA,NA,1,0
"Other","BRT","Other transit mode (a.SITP)",NA,NA,NA,3,0
"Other","BRT","Other transit mode (b.Not SITP)",NA,NA,NA,3,0
"Other",NA,NA,NA,NA,NA,2,0
"Other","Other transit mode (a.SITP)","BRT",NA,NA,NA,2,0
"Other",NA,NA,NA,NA,NA,4,0
"Other","BRT",NA,NA,NA,NA,1,0
"Other","BRT","Other transit mode (a.SITP)","Other transit mode (b.Not SITP)",NA,NA,1,0
"Other","BRT","Other transit mode (b.Not SITP)",NA,NA,NA,4,0
"Other","BRT","Other transit mode (b.Not SITP)",NA,NA,NA,1,0
"Other","BRT","Other transit mode (b.Not SITP)",NA,NA,NA,1,0
"Other",NA,NA,NA,NA,NA,1,0
"Other","Other transit mode (a.SITP)",NA,NA,NA,NA,1,0
"Other","Other transit mode (a.SITP)",NA,NA,NA,NA,1,0
"Other","Other transit mode (a.SITP)","Other transit mode (b.Not SITP)",NA,NA,NA,1,0
"Other","Other transit mode (b.Not SITP)","BRT","Other transit mode (a.SITP)",NA,NA,2,0
"Other","Other transit mode (b.Not SITP)","BRT",NA,NA,NA,1,0
"Other","Other transit mode (b.Not SITP)","Other transit mode (a.SITP)",NA,NA,NA,1,0
"Other","Other transit mode (b.Not SITP)",NA,NA,NA,NA,1,0
"Other","Other transit mode (b.Not SITP)","Other transit mode (b.Not SITP)",NA,NA,NA,1,0
"Other",NA,NA,NA,NA,NA,2,0
"Other","BRT",NA,NA,NA,NA,1,0
"Other","BRT","Other transit mode (a.SITP)",NA,NA,NA,2,0
"Other","BRT","Other transit mode (b.Not SITP)",NA,NA,NA,2,0
"Other",NA,NA,NA,NA,NA,2,0
"Other","Other transit mode (a.SITP)","BRT",NA,NA,NA,1,0
"Other","Other transit mode (a.SITP)",NA,NA,NA,NA,1,0
"Other","Other transit mode (b.Not SITP)",NA,NA,NA,NA,5,0
"Other","Other transit mode (b.Not SITP)","BRT",NA,NA,NA,1,0
"Other","Other transit mode (b.Not SITP)","Other transit mode (a.SITP)",NA,NA,NA,1,0
"Other",NA,NA,NA,NA,NA,3,0
"Other transit mode (a.SITP)","BRT","Other",NA,NA,NA,1,0
"Other transit mode (a.SITP)","BRT",NA,NA,NA,NA,2,0
"Other transit mode (a.SITP)","BRT",NA,NA,NA,NA,1,0
"Other transit mode (a.SITP)","BRT","Other","Other",NA,NA,6,0
"Other transit mode (a.SITP)","BRT","Other transit mode (b.Not SITP)",NA,NA,NA,1,0
"Other transit mode (a.SITP)","BRT","Other transit mode (b.Not SITP)","Other",NA,NA,1,0
"Other transit mode (a.SITP)","BRT","Other transit mode (b.Not SITP)",NA,NA,NA,2,0
"Other transit mode (a.SITP)","BRT","Other",NA,NA,NA,1,0
"Other transit mode (a.SITP)","BRT",NA,NA,NA,NA,1,0
"Other transit mode (a.SITP)","Other",NA,NA,NA,NA,1,0
"Other transit mode (a.SITP)","Other","Other transit mode (b.Not SITP)",NA,NA,NA,1,0
"Other transit mode (a.SITP)","Other",NA,NA,NA,NA,2,0
"Other transit mode (a.SITP)","Other",NA,NA,NA,NA,4,0
"Other transit mode (a.SITP)","Other transit mode (b.Not SITP)","BRT",NA,NA,NA,4,0
"Other transit mode (a.SITP)","Other transit mode (b.Not SITP)","Other",NA,NA,NA,3,0
"Other transit mode (a.SITP)","Other transit mode (b.Not SITP)","Other","Other",NA,NA,1,0
"Other transit mode (a.SITP)","Other transit mode (b.Not SITP)","Other",NA,NA,NA,4,0
"Other transit mode (a.SITP)","Other transit mode (b.Not SITP)","Other","BRT",NA,NA,1,0
"Other transit mode (a.SITP)","Other","BRT",NA,NA,NA,1,0
"Other transit mode (a.SITP)","Other","Other transit mode (b.Not SITP)",NA,NA,NA,1,0
"Other transit mode (a.SITP)","Other","Other",NA,NA,NA,1,0
"Other transit mode (b.Not SITP)","BRT","Other",NA,NA,NA,1,0
"Other transit mode (b.Not SITP)","BRT","Other","Other transit mode (a.SITP)",NA,NA,1,0
"Other transit mode (b.Not SITP)","BRT","Other",NA,NA,NA,2,0
"Other transit mode (b.Not SITP)","BRT","Other transit mode (a.SITP)","Other",NA,NA,3,0
"Other transit mode (b.Not SITP)","BRT","Other transit mode (a.SITP)",NA,NA,NA,4,0
"Other transit mode (b.Not SITP)","BRT","Other transit mode (a.SITP)","Other",NA,NA,1,0
"Other transit mode (b.Not SITP)","BRT",NA,NA,NA,NA,2,0
"Other transit mode (b.Not SITP)","BRT","Other","Other",NA,NA,2,0
"Other transit mode (b.Not SITP)","BRT",NA,NA,NA,NA,1,0
"Other transit mode (b.Not SITP)","Other","BRT",NA,NA,NA,1,0
"Other transit mode (b.Not SITP)","Other",NA,NA,NA,NA,6,0
"Other transit mode (b.Not SITP)","Other",NA,NA,NA,NA,1,0
"Other transit mode (b.Not SITP)","Other transit mode (a.SITP)","BRT",NA,NA,NA,4,0
"Other transit mode (b.Not SITP)","Other transit mode (a.SITP)","BRT",NA,NA,NA,4,0
"Other transit mode (b.Not SITP)","Other transit mode (a.SITP)","BRT",NA,NA,NA,1,0
"Other transit mode (b.Not SITP)","Other transit mode (a.SITP)","Other",NA,NA,NA,4,0
"Other transit mode (b.Not SITP)","Other transit mode (a.SITP)",NA,NA,NA,NA,4,0
"Other transit mode (b.Not SITP)","Other transit mode (a.SITP)","Other",NA,NA,NA,1,0
"Other transit mode (b.Not SITP)","Other","BRT",NA,NA,NA,1,0
"Other transit mode (b.Not SITP)","Other",NA,NA,NA,NA,3,0
"Other transit mode (b.Not SITP)","Other","Other transit mode (a.SITP)","BRT",NA,NA,1,0
"Other transit mode (b.Not SITP)","Other",NA,NA,NA,NA,4,0
"Other transit mode (b.Not SITP)",NA,NA,NA,NA,NA,1,0
"Other transit mode (b.Not SITP)","BRT","BRT",NA,NA,NA,1,0
"Other","BRT",NA,NA,NA,NA,1,0
"Other","BRT",NA,NA,NA,NA,4,0
"Other","BRT","Other transit mode (b.Not SITP)",NA,NA,NA,2,0
"Other","Other transit mode (a.SITP)",NA,NA,NA,NA,1,0
"Other",NA,NA,NA,NA,NA,3,0
"Other","BRT",NA,NA,NA,NA,1,0
"Other",NA,NA,NA,NA,NA,5,0
"Other",NA,NA,NA,NA,NA,4,0
"Other","Other transit mode (a.SITP)","BRT",NA,NA,NA,3,0
"Other","Other transit mode (a.SITP)",NA,NA,NA,NA,2,0
"Other","Other transit mode (a.SITP)",NA,NA,NA,NA,1,0
"Other","Other transit mode (a.SITP)","Other transit mode (b.Not SITP)",NA,NA,NA,2,0
"Other","Other transit mode (b.Not SITP)","BRT",NA,NA,NA,5,0
"Other","Other transit mode (b.Not SITP)","BRT","Other transit mode (a.SITP)",NA,NA,2,0
"Other","Other transit mode (b.Not SITP)",NA,NA,NA,NA,2,0
"Other","Other transit mode (b.Not SITP)",NA,NA,NA,NA,5,0
"Other",NA,NA,NA,NA,NA,1,0
"BRT",NA,NA,NA,NA,NA,1,0
"BRT","Other transit mode (b.Not SITP)","Other transit mode (b.Not SITP)",NA,NA,NA,2,0
"Other",NA,NA,NA,NA,NA,1,0
"Other transit mode (a.SITP)",NA,NA,NA,NA,NA,2,0
"Other transit mode (b.Not SITP)",NA,NA,NA,NA,NA,3,0
